concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
hotel-words.passport,דרכון,דַּרְכּוֹן,darkon,daʁkˈon,,2,he-agent-v1;ipa=bgn
hotel-words.room-key-card,כרטיס חדר,כַּרְטִיס חֶדֶר,kartis ẖéder,kaʁtˈis xˈedeʁ,room card,2,he-agent-v1;ipa=bgn
hotel-words.check-in,צ׳ק-אין,צֶ׳ק-אִין,čeq-in,tʃekˈin,"the English word, as Israeli hotels use it",2,he-agent-v1;ipa=bgn
hotel-words.check-out,צ׳ק-אאוט,צֶ׳ק-אַאוּט,čeq-aut,tʃekaˈut,,2,he-agent-v1;ipa=bgn
hotel-words.luggage-storage,שמירת מזוודות,שְׁמִירַת מִזְוָודוֹת,shemirat mizvadot,ʃemiʁˈat mizvadˈot,keeping of suitcases,2,he-agent-v1;ipa=bgn
hotel-basics.are-any-rooms-available,יש חדרים פנויים?,יֵשׁ חֲדָרִים פְּנוּיִים?,yesh ẖadarim penuyim?,jˈeʃ xadaʁˈim penujˈim,are there free rooms?,2,he-agent-v1;ipa=bgn
hotel-basics.there-are-two-of-us,אנחנו שנים,אֲנַחְנוּ שְׁנַיִם,anáẖnu shenáyim,anˈaxnu ʃenˈajim,we are two,2,he-agent-v1;ipa=bgn
hotel-basics.i-have-a-reservation,יש לי הזמנה,יֵשׁ לִי הַזְמָנָה,yesh li hazmana,jˈeʃ lˈi hazmanˈa,I have a reservation,2,he-agent-v1;ipa=bgn
hotel-basics.can-i-charge-my-phone,אפשר להטעין את הטלפון?,אֶפְשָׁר לְהַטְעִין אֶת הַטֶּלֶפוֹן?,efshar lehat‘in et hatélefon?,efʃˈaʁ lehatˈin ˈet hatˈelefon,,2,he-agent-v1;ipa=bgn
hotel-basics.i-would-like-a-non-smoking-room,אני רוצה חדר ללא עישון,אֲנִי רוֹצֶה חֶדֶר לְלֹא עִישּׁוּן,ani rotse ẖéder lelo ‘ishun,anˈi ʁotsˈe xˈedeʁ lelˈo iʃˈun,a room without smoking,2,he-agent-v1;ipa=bgn
hotel-basics.i-would-like-a-quiet-room,אני רוצה חדר שקט,אֲנִי רוֹצֶה חֶדֶר שָׁקֵט,ani rotse ẖéder shaqet,anˈi ʁotsˈe xˈedeʁ ʃakˈet,,2,he-agent-v1;ipa=bgn
hotel-basics.is-there-a-washing-machine,יש מכונת כביסה?,יֵשׁ מְכוֹנַת כְּבִיסָה?,yesh mekhonat kevisa?,jˈeʃ mexonˈat kevisˈa,is there a laundry machine?,2,he-agent-v1;ipa=bgn
hotel-basics.is-wi-fi-free,ה-Wi-Fi בחינם?,הַ-Wi-Fi בְּחִינָּם?,ha-Wi-Fi beẖinam?,hˈa vajˈfaj bexinˈam,is the Wi-Fi for free?,2,he-agent-v1;ipa=bgn+loan
hotel-basics.how-much-per-night,כמה ללילה?,כַּמָּה לְלַיְלָה?,káma leláyla?,kˈama lelˈajla,how much per night?,2,he-agent-v1;ipa=bgn
hotel-basics.is-breakfast-included,ארוחת בוקר כלולה?,אֲרוּחַת בּוֹקֶר כְּלוּלָה?,aruẖat bóqer kelula?,aʁuxˈat bˈokeʁ kelulˈa,is breakfast included?,2,he-agent-v1;ipa=bgn
hotel-basics.may-i-see-the-room,אפשר לראות את החדר?,אֶפְשָׁר לִרְאוֹת אֶת הַחֶדֶר?,efshar lirot et haẖéder?,efʃˈaʁ liʁˈot ˈet haxˈedeʁ,,2,he-agent-v1;ipa=bgn
hotel-basics.for-nights,ל{} לילות,לְ{} לֵילוֹת,le{} leylot,lˈe {} lejlˈot,for {} nights,2,he-agent-v1;ipa=bgn
hotel-basics.two-beds,"שתי מיטות, בבקשה","שְׁתֵּי מִיטּוֹת, בְּבַקָּשָׁה","shetey mitot, bevaqasha","ʃˈetej mitˈot, bevakaʃˈa","two beds, please",2,he-agent-v1;ipa=bgn
hotel-basics.is-there-air-conditioning,יש מזגן?,יֵשׁ מַזְגָן?,yesh mazgan?,jˈeʃ mazɡˈan,is there an air conditioner?,2,he-agent-v1;ipa=bgn
hotel-requests.can-i-check-out-later,אפשר לעשות צ׳ק-אאוט יותר מאוחר?,אֶפְשָׁר לַעֲשׂוֹת צֶ׳ק-אַאוּט יוֹתֵר מְאוּחָר?,efshar la‘asot čeq-aut yoter meuẖar?,efʃˈaʁ laasˈot tʃekaˈut jotˈeʁ meuxˈaʁ,can check-out be done later?,2,he-agent-v1;ipa=bgn
hotel-requests.what-time-does-breakfast-start,באיזו שעה מתחילה ארוחת הבוקר?,בְּאֵיזוֹ שָׁעָה מַתְחִילָה אֲרוּחַת הַבּוֹקֶר?,be’éyzo sha‘a matẖila aruẖat habóqer?,beˈejzo ʃaˈa matxilˈa aʁuxˈat habˈokeʁ,,2,he-agent-v1;ipa=bgn
hotel-requests.can-i-store-my-luggage,אפשר להשאיר את המזוודות?,אֶפְשָׁר לְהַשְׁאִיר אֶת הַמִּזְוָודוֹת?,efshar lehash’ir et hamizvadot?,efʃˈaʁ lehaʃˈiʁ ˈet hamizvadˈot,can the suitcases be left?,2,he-agent-v1;ipa=bgn
hotel-requests.no-housekeeping,"לא צריך ניקיון, תודה","לֹא צָרִיךְ נִיקָּיוֹן, תּוֹדָה","lo tsarikh niqayon, toda","lˈo tsaʁˈix nikajˈon, todˈa","no cleaning needed, thank you",2,he-agent-v1;ipa=bgn
hotel-requests.another-towel-please,"עוד מגבת, בבקשה","עוֹד מַגֶּבֶת, בְּבַקָּשָׁה","‘od magévet, bevaqasha","ˈod maɡˈevet, bevakaʃˈa","another towel, please",2,he-agent-v1;ipa=bgn
hotel-requests.what-time-is-check-out,באיזו שעה הצ׳ק-אאוט?,בְּאֵיזוֹ שָׁעָה הַצֶ׳ק-אַאוּט?,be’éyzo sha‘a hačeq-aut?,beˈejzo ʃaˈa hatʃekaˈut,,2,he-agent-v1;ipa=bgn
hotel-requests.can-i-check-in-early,אפשר לעשות צ׳ק-אין מקדם?,אֶפְשָׁר לַעֲשׂוֹת צֶ׳ק-אִין מֻקְדָּם?,efshar la‘asot čeq-in muqdam?,efʃˈaʁ laasˈot tʃekˈin mukdˈam,can check-in be done early?,2,he-agent-v1;ipa=bgn
hotel-requests.another-night,אפשר להשאר עוד לילה?,אֶפְשָׁר לְהִשָּׁאֵר עוֹד לַיְלָה?,efshar lehisha’er ‘od láyla?,efʃˈaʁ lehiʃaˈeʁ ˈod lˈajla,can I stay another night?,2,he-agent-v1;ipa=bgn
