concept_id,text,text_alt,romanization_ala-lc,ipa,literal,confidence,provenance
laundry.please-wash-these-clothes,أريد غسل هذه الملابس,,urīd ghasl hādhihi al-malābis,ʔɹˈiːd ɣˈusl haˈaðihˌi ʔalmlˈaːbs,,2,ar-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,أين مغسلة؟,محل غسيل,ayna maghsalah?,ʔˈajna mˈaɣsalˌa,,2,ar-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,متى تكون جاهزة؟,,matá takūn jāhizah?,mˈataː tˈakawwˌan dʒˈaːhzt,,2,ar-agent-v1;ipa=espeak
laundry.how-much-per-kilo,بكم الكيلو؟,,bikam al-kīlū?,bˈakam ʔalkˈiːluː,,2,ar-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,هل تكون جاهزة اليوم؟,,hal takūn jāhizah al-yawm?,hˈal tˈakawwˌan dʒˈaːhzt ʔaljˈawm,,2,ar-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,من فضلك بدون كلور,بدون مبيّض,min faḍlak bidūn klūr,mˈin fˈadˤlka budːˈuːna kˈalwar,,2,ar-agent-v1;ipa=espeak
laundry.laundromat,مغسلة,,maghsalah,mˈaɣsalˌa,,2,ar-agent-v1;ipa=espeak
laundry.please-iron-this,أريد كيّ هذا,,urīd kayy hādhā,ʔɹˈiːd kiː haˈaðaˌa,,2,ar-agent-v1;ipa=espeak
laundry.detergent,مسحوق غسيل,صابون غسيل,masḥūq ghasīl,mˈasħuːq ɣˈasiːl,,2,ar-agent-v1;ipa=espeak
laundry.dry-cleaning,تنظيف جاف,دراي كلين,tanẓīf jāff,tˈanðiːf dʒˈaːff,,2,ar-agent-v1;ipa=espeak
laundry.dryer,مجفّفة,نشّافة,mujaffifah,mdʒffft,,2,ar-agent-v1;ipa=espeak
laundry.coin-operated,بالعملة المعدنية,,bi-al-ʿumlah al-maʿdanīyah,bilʕˈumla ʔalmˌaʕdinˈijjah,by coin,1,ar-agent-v1;ipa=espeak
hotel-words.passport,جواز سفر,,jawāz safar,dʒˈawaːz sˈafar,,2,ar-agent-v1;ipa=espeak
hotel-words.room-key-card,بطاقة الغرفة,مفتاح الغرفة,biṭāqat al-ghurfah,bˈit̪aːqˌa ʔalɣˈurfa,,2,ar-agent-v1;ipa=espeak
hotel-words.check-in,تسجيل الوصول,,tasjīl al-wuṣūl,tˈasdʒiːl ʔalwˈus̪uːl,,2,ar-agent-v1;ipa=espeak
hotel-words.check-out,تسجيل المغادرة,المغادرة,tasjīl al-mughādarah,tˈasdʒiːl ʔalmuɣˈaːdaɹˌa,,2,ar-agent-v1;ipa=espeak
hotel-words.luggage-storage,حفظ الأمتعة,مكتب الأمانات,ḥifẓ al-amtiʿah,ħˈifð ʔalʔmtʕt,,2,ar-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,هل توجد غرف فارغة؟,,hal tūjad ghuraf fārighah?,hˈal tˈuːdʒd ɣˈaɹaf faːrɣt,,2,ar-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,نحن اثنان,,naḥnu ithnān,nˈaħnu ˈaθnaːn,,2,ar-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,لديّ حجز,عندي حجز,ladayya ḥajz,ldiː ħˈadʒz,,2,ar-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,هل يمكنني شحن هاتفي؟,,hal yumkinunī shaḥn hātifī?,hˈal jmknnˈiː ʃˈaħn hˈaːtifˌiːj,,2,ar-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,أريد غرفة بدون تدخين,غرفة لغير المدخنين,urīd ghurfah bidūn tadkhīn,ʔɹˈiːd ɣˈurfa budːˈuːna tˈadxiːn,,2,ar-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,أريد غرفة هادئة,,urīd ghurfah hādiʾah,ʔɹˈiːd ɣˈurfa hˈaːdʔt,,2,ar-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,هل توجد غسّالة؟,,hal tūjad ghassālah?,hˈal tˈuːdʒd ɣssˈaːlt,,2,ar-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,هل الواي فاي مجاني؟,,hal al-wāy fāy majjānī?,hˈal ʔalˈuːi faːˌi mˈadʒdʒaːnˌiːj,,2,ar-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,بكم الليلة؟,,bikam al-laylah?,bˈakam ʔallˈajla,,2,ar-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,هل الفطور مشمول؟,هل الإفطار مشمول؟,hal al-fuṭūr mashmūl?,hˈal ʔalfˈat̪uːr mˈaʃmuːl,,2,ar-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,هل يمكنني رؤية الغرفة؟,,hal yumkinunī ruʾyat al-ghurfah?,hˈal jmknnˈiː ɹˈuʔja ʔalɣˈurfa,,2,ar-agent-v1;ipa=espeak
hotel-basics.for-nights,لمدة {} ليال,,li-muddat {} layāl,lmdt {} liːˌaːl,for a period of {} nights,2,ar-agent-v1;ipa=espeak
