concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
hotel-words.passport,પાસપોર્ટ,,pāsapōrṭ,paːspoːɾʈ,passport,2,gu-agent-v1;ipa=espeak
hotel-words.room-key-card,ઓરડાનું કાર્ડ,,ōraḍānuṁ kārḍ,oːɾɖaːnũ kaːɾɖ,the room's card,2,gu-agent-v1;ipa=espeak
hotel-words.check-in,ચેક-ઇન,,cēk-in,ceːkɪn,check-in,2,gu-agent-v1;ipa=espeak
hotel-words.check-out,ચેક-આઉટ,,cēk-āuṭ,ceːkaːʊʈ,check-out,2,gu-agent-v1;ipa=espeak
hotel-words.luggage-storage,સામાનઘર,,sāmānaghar,saːmaːnʌɡʰəɾ,luggage room,2,gu-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,ઓરડો ખાલી છે?,,ōraḍō khālī chē?,oːɾʌɖoː kʰaːli cʰeː,is a room empty?,2,gu-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,અમે બે જણ છીએ,,amē bē jaṇ chīē,ʌmeː beː ɟʌɳ cʰiːeː,we are two persons,2,gu-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,મારી બુકિંગ છે,,mārī bukiṁg chē,maːɾi bukɪnɡ cʰeː,I have a booking,2,gu-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,ફોન ચાર્જ કરી શકું?,,phōn cārj karī śakuṁ?,pʰoːn caːɾɟ kʌɾi ʃʌkũ,may I charge the phone?,2,gu-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,મને નૉન-સ્મોકિંગ ઓરડો જોઈએ છે,,manē nôn-smōkiṁg ōraḍō jōīē chē,mʌneː nɔnsmoːkɪnɡ oːɾʌɖoː ɟoːiːeː cʰeː,I want a non-smoking room,2,gu-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,મને શાંત ઓરડો જોઈએ છે,,manē śāṁt ōraḍō jōīē chē,mʌneː ʃãt oːɾʌɖoː ɟoːiːeː cʰeː,I want a quiet room,2,gu-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,વૉશિંગ મશીન છે?,,vôśiṁg maśīn chē?,ʋɔʃɪnɡ məʃiːn cʰeː,is there a washing machine?,2,gu-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,વાઇ-ફાઇ મફત છે?,,vāi-phāi maphat chē?,ʋaːɪpʰaːɪ məpʰʌt cʰeː,is Wi-Fi free?,2,gu-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,એક રાતના કેટલા?,,ēk rātanā kēṭalā?,eːk ɾaːtʌnaː keːʈʌlaː,how much for one night?,2,gu-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,નાસ્તો સામેલ છે?,,nāstō sāmēl chē?,naːstoː saːmeːl cʰeː,is breakfast included?,2,gu-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,ઓરડો જોઈ શકું?,,ōraḍō jōī śakuṁ?,oːɾʌɖoː ɟoːi ʃʌkũ,may I see the room?,2,gu-agent-v1;ipa=espeak
hotel-basics.for-nights,{} રાત માટે,,{} rāt māṭē,{} ɾaːt maːʈeː,for {} nights,2,gu-agent-v1;ipa=espeak
hotel-basics.two-beds,બે અલગ પલંગ જોઈએ છે,,bē alag palaṁg jōīē chē,beː ʌlʌɡ pəlʌŋɡ ɟoːiːeː cʰeː,two separate beds are wanted,2,gu-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,એસી છે?,,ēsī chē?,eːsi cʰeː,is there AC?,2,gu-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,મોડું ચેક-આઉટ થઈ શકે?,,mōḍuṁ cēk-āuṭ thaī śakē?,moːɖũ ceːkaːʊʈ tʰʌi ʃʌkeː,can a late check-out be done?,2,gu-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,નાસ્તો કેટલા વાગ્યાથી છે?,,nāstō kēṭalā vāgyāthī chē?,naːstoː keːʈʌlaː ʋaːɡjaːtʰi cʰeː,from how many o clock is breakfast?,2,gu-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,સામાન અહીં રાખી શકાય?,,sāmān ahīṁ rākhī śakāy?,saːmaːn ɛhĩ ɾaːkʰi ʃəkaːjə,can the luggage be kept here?,2,gu-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,ઓરડાની સફાઈ નથી જોઈતી,,ōraḍānī saphāī nathī jōītī,oːɾɖaːni səpʰaːi nʌtʰi ɟoːiːti,the room cleaning is not wanted,2,gu-agent-v1;ipa=espeak
hotel-requests.another-towel-please,એક વધુ ટુવાલ આપો,,ēk vadhu ṭuvāl āpō,eːk ʋʌdʰu ʈuʋaːl aːpoː,give one more towel,2,gu-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,ચેક-આઉટ કેટલા વાગ્યે છે?,,cēk-āuṭ kēṭalā vāgyē chē?,ceːkaːʊʈ keːʈʌlaː ʋaːɡjeː cʰeː,at how many o clock is check-out?,2,gu-agent-v1;ipa=espeak
