concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
hotel-words.passport,паспорт,,pasport,pˈɑspʌrt,,2,ru-agent-v1;ipa=espeak
hotel-words.room-key-card,ключ-карта,,klyuch-karta,kɭʲˈʉtʃʲkɑrta,,2,ru-agent-v1;ipa=espeak
hotel-words.check-in,заселение,,zaseleniye,zʌsʲiɭʲˈenʲijɪ,,2,ru-agent-v1;ipa=espeak
hotel-words.check-out,выезд,,vyyezd,vˈɨjist,,2,ru-agent-v1;ipa=espeak
hotel-words.luggage-storage,камера хранения,,kamera khraneniya,kˈɑmʲira xranʲˈenʲija,,2,ru-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,Есть свободные номера?,,Yestʼ svobodnyye nomera?,jestʲ svʌbˈodnɨjɪ nʌmʲˈera,,2,ru-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,Нас двое.,,Nas dvoye.,nˈɑs dvˈojɪ,,2,ru-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,У меня есть бронь.,,U menya yestʼ bronʼ.,ˈu mʲinʲˈɑ jestʲ brˈon,,2,ru-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,Можно зарядить телефон?,,Mozhno zaryaditʼ telefon?,mˈoʒnʌ zʌrʲadʲˈitʲ tʲiɭʲifˈon,,2,ru-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Нужен номер для некурящих.,,Nuzhen nomer dlya nekuryashchikh.,nˈuʒɨn nˈomʲir dɭʲɑ nʲikurʲˈɑɕix,,2,ru-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Нужен тихий номер.,,Nuzhen tikhiy nomer.,nˈuʒɨn tʲˈixij nˈomʲir,,2,ru-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,Есть стиральная машина?,,Yestʼ stiralʼnaya mashina?,jestʲ sʲtʲirˈɑɭnʌja maʃˈɨna,,2,ru-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,Wi-Fi бесплатный?,,Wi-Fi besplatnyy?,,,2,ru-agent-v1
hotel-basics.how-much-per-night,Сколько за ночь?,,Skolʼko za nochʼ?,skˈoɭkʌ zˈɑ nˈotʃʲ,,2,ru-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,Завтрак включён?,,Zavtrak vklyuchën?,zˈɑftrʌk fkɭʲʉtʃʲˈɵn,,2,ru-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,Можно посмотреть номер?,,Mozhno posmotretʼ nomer?,mˈoʒnʌ pʌsmʌtrʲˈetʲ nˈomʲir,,2,ru-agent-v1;ipa=espeak
hotel-basics.for-nights,На {} ночей.,,Na {} nochey.,nˈɑ {} nʌtʃʲˈej,,2,ru-agent-v1;ipa=espeak
hotel-basics.two-beds,"Две кровати, пожалуйста.",,"Dve krovati, pozhaluysta.","dvʲˈe krʌvˈɑtʲɪ, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,Есть кондиционер?,,Yestʼ konditsioner?,jestʲ kʌndʲitsɨʌnʲˈer,,2,ru-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,Можно выехать позже?,,Mozhno vyyekhatʼ pozzhe?,mˈoʒnʌ vˈɨjixʌtʲ pˈoʒʒɨ,,2,ru-agent-v1;ipa=espeak
