concept_id,text,text_alt,ipa,literal,confidence,provenance
hotel-words.passport,pass,,pˈas,,2,sv-agent-v1;ipa=espeak
hotel-words.room-key-card,nyckelkort,,nˈykːəlkˌoːt,,2,sv-agent-v1;ipa=espeak
hotel-words.check-in,incheckning,,ˈɪnʃəknˌɪŋ,,2,sv-agent-v1;ipa=espeak
hotel-words.check-out,utcheckning,,ˈɵtʃəknˌɪŋ,,2,sv-agent-v1;ipa=espeak
hotel-words.luggage-storage,bagageförvaring,,bˌaɡaɡəfˈœrvarˌɪŋ,,2,sv-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,Finns det lediga rum?,,fˈɪns deːt lˈeːdiːɡˌa rˈɵːm,,2,sv-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,Vi är två.,,viː ɛːr tvˈoː,,2,sv-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,Jag har en bokning.,,jɑːɡ hɑːr ɛn bˈuːknɪŋ,,2,sv-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,Kan jag ladda min telefon?,,kan jɑːɡ lˈada mɪn tˌɛləfˈoːn,,2,sv-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Jag skulle vilja ha ett rökfritt rum.,,jɑːɡ skˌɵlə vˈɪlja hˈɑː ˈɛt rˈœkfrɪt rˈɵːm,,2,sv-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Jag skulle vilja ha ett tyst rum.,,jɑːɡ skˌɵlə vˈɪlja hˈɑː ˈɛt tˈyst rˈɵːm,,2,sv-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,Finns det en tvättmaskin?,,fˈɪns deːt ɛn tvˌɛtmasxˈiːn,,2,sv-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,Är wifin gratis?,,ɛːr viːfˈiːn ɡrˈɑːtɪs,,2,sv-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,Hur mycket per natt?,,hˈʉr mˈykət pˈɛːr nˈat,,2,sv-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,Ingår frukost?,,ˈɪŋoːr frˈʉkɔst,,2,sv-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,Får jag se rummet?,,fˈoːr jɑːɡ sˈeː rˈɵmət,,2,sv-agent-v1;ipa=espeak
hotel-basics.for-nights,I {} nätter.,,iː {} nˈɛtːər,,2,sv-agent-v1;ipa=espeak
hotel-basics.two-beds,"Två sängar, tack.",,"tvˈoː sˈɛŋar, tˈak",,2,sv-agent-v1;ipa=espeak
