concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
hotel-words.passport,पासपोर्ट,,pāsapōrṭa,pˌaːspˈoːɾʈ,,2,mr-agent-v1;ipa=espeak
hotel-words.room-key-card,की कार्ड,,kī kārḍa,kˈi kˈaːɾɖ,,2,mr-agent-v1;ipa=espeak
hotel-words.check-in,चेक-इन,,cēka-ina,cˈeːkɪn,,2,mr-agent-v1;ipa=espeak
hotel-words.check-out,चेक-आऊट,,cēka-āūṭa,cˈeːkaːuʈ,,2,mr-agent-v1;ipa=espeak
hotel-words.luggage-storage,सामान ठेवण्याची सोय,,sāmāna ṭhēvaṇyācī sōya,saːmˈaːn ʈʰˌeːvɳjˈaːci sˈoːj,,2,mr-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,खोली उपलब्ध आहे का?,,khōlī upalabdha āhē kā?,kʰˈoːli ˌʊpəlˈʌbdʰ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,आम्ही दोघे आहोत,,āmhī dōghē āhōta,ˈaːmhi dˈoːɡʰeː aːhˈoːt,,2,mr-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,माझे बुकिंग आहे,,mājhē bukiṁga āhē,mˈaːɟʰeː bʊkˈĩɡ ˈaːheː,,2,mr-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,माझा फोन चार्ज करता येईल का?,,mājhā phōna cārja karatā yēīla kā?,mˈaːɟʰaː pʰˈoːn cˈaːrz kˈʌɾtˌaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,मला धूम्रपान न करण्याची खोली हवी आहे,,malā dhūmrapāna na karaṇyācī khōlī havī āhē,mˈʌlaː dʰˈuːmɾəpˌaːn nˈə kˌəɾɳjˈaːci kʰˈoːli hˈʌvi ˈaːheː,,2,mr-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,मला शांत खोली हवी आहे,,malā śāṁta khōlī havī āhē,mˈʌlaː ʃˈãt kʰˈoːli hˈʌvi ˈaːheː,,2,mr-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,वॉशिंग मशीन आहे का?,,vôśiṁga maśīna āhē kā?,vɔʃˈĩɡ məʃˈiːn ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,वाय-फाय मोफत आहे का?,,vāya-phāya mōphata āhē kā?,vˈaːjpʰaːj mˈoːpʰət ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,एका रात्रीचे भाडे किती?,,ēkā rātrīcē bhāḍē kitī?,ˈeːkaː ɾˈaːtɾicˌeː bʰˈaːɖeː kˈɪti,,2,mr-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,नाश्ता समाविष्ट आहे का?,,nāśtā samāviṣṭa āhē kā?,nˈaːʃtaː sˌəmaːvˈɪʂʈ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,खोली बघता येईल का?,,khōlī baghatā yēīla kā?,kʰˈoːli bˈʌɡʰtˌaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
hotel-basics.for-nights,{} रात्रींसाठी,,{} rātrīṁsāṭhī,{} ɾˈaːtɾĩsˌaːʈʰi,,2,mr-agent-v1;ipa=espeak
hotel-basics.two-beds,"दोन बेड द्या, कृपया",,"dōna bēḍa dyā, kr̥payā","dˈoːn bˈeːɖ djˈaː, kɾˈʊpjˌaː","two separate beds, not one double",2,mr-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,एसी आहे का?,,ēsī āhē kā?,ˈeːsi ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,उशिरा चेक-आऊट करता येईल का?,,uśirā cēka-āūṭa karatā yēīla kā?,ˈʊʃɪɾˌaː cˈeːkaːuʈ kˈʌɾtˌaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,नाश्ता किती वाजता सुरू होतो?,,nāśtā kitī vājatā surū hōtō?,nˈaːʃtaː kˈɪti vˈaːztˌaː sˈʊɾuː hˈoːtoː,,2,mr-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,सामान इथे ठेवता येईल का?,,sāmāna ithē ṭhēvatā yēīla kā?,saːmˈaːn ˈɪtʰeː ʈʰˈeːvtˌaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,साफसफाई नको,,sāphasaphāī nakō,sˌaːpʰəspʰˈaːi nˈʌkoː,,2,mr-agent-v1;ipa=espeak
hotel-requests.another-towel-please,अजून एक टॉवेल द्या,,ajūna ēka ṭôvēla dyā,ʌzˈuːn ˈeːk ʈɔvˈeːl djˈaː,,2,mr-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,चेक-आऊटची वेळ काय आहे?,,cēka-āūṭacī vēḷa kāya āhē?,cˈeːkaːuʈci vˈeːɭ kˈaːj ˈaːheː,,2,mr-agent-v1;ipa=espeak
hotel-requests.can-i-check-in-early,लवकर चेक-इन करता येईल का?,,lavakara cēka-ina karatā yēīla kā?,lˈʌvəkˌəɾ cˈeːkɪn kˈʌɾtˌaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
hotel-requests.another-night,आणखी एक रात्र राहता येईल का?,,āṇakhī ēka rātra rāhatā yēīla kā?,ˈaːɳkʰˌi ˈeːk ɾˈaːtɾə ɾˈaːhətˌaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,तिजोरी आहे का?,,tijōrī āhē kā?,tɪzˈoːɾi ˈaːheː kˈaː,a lockable safe,2,mr-agent-v1;ipa=espeak
hotel-requests.another-blanket,अजून एक पांघरूण द्या,,ajūna ēka pāṁgharūṇa dyā,ʌzˈuːn ˈeːk pˌãɡʰɾˈuːɳ djˈaː,,2,mr-agent-v1;ipa=espeak
hotel-requests.wake-up-call,मला {} वाजता उठवा,,malā {} vājatā uṭhavā,mˈʌlaː {} vˈaːztˌaː ˈʊʈʰvˌaː,,2,mr-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,खोलीत काहीतरी समस्या आहे,,khōlīta kāhītarī samasyā āhē,kʰoːlˈiːt kaːhˈiːtɾˌi səmˈʌsjaː ˈaːheː,,2,mr-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,एसी बिघडला आहे,,ēsī bighaḍalā āhē,ˈeːsi bˈɪɡʰəɖlaː ˈaːheː,,2,mr-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,गरम पाणी येत नाही,,garama pāṇī yēta nāhī,ɡˈʌɾəm pˈaːɳi jˈeːt nˈaːhi,,2,mr-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,खोली बदलता येईल का?,,khōlī badalatā yēīla kā?,kʰˈoːli bˈʌdəltaː jeːˈiːl kˈaː,"impersonal, no gender",2,mr-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,खोलीत खूप आवाज येतो,,khōlīta khūpa āvāja yētō,kʰoːlˈiːt kʰˈuːp aːvˈaːz jˈeːtoː,,2,mr-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,चावी चालत नाही,,cāvī cālata nāhī,cˈaːvi cˈaːlət nˈaːhi,covers a key card too,2,mr-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,टॉयलेट फ्लश होत नाही,,ṭôyalēṭa phlaśa hōta nāhī,ʈˌɔjlˈeːʈ pʰlˈʌʃ hˈoːt nˈaːhi,,2,mr-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,लाईट लागत नाही,,lāīṭa lāgata nāhī,laːˈiːʈ lˈaːɡət nˈaːhi,,2,mr-agent-v1;ipa=espeak
room-problems.please-send-someone,कोणाला तरी दुरुस्तीसाठी पाठवा,,kōṇālā tarī durustīsāṭhī pāṭhavā,koːɳˈaːlaː tˈʌɾi dˌʊɾʊstisˈaːʈʰi pˈaːʈʰvˌaː,,2,mr-agent-v1;ipa=espeak
room-problems.the-heating-does-not-work,हीटर चालत नाही,,hīṭara cālata nāhī,hˈiːʈəɾ cˈaːlət nˈaːhi,,2,mr-agent-v1;ipa=espeak
laundry.please-wash-these-clothes,हे कपडे धुवा,,hē kapaḍē dhuvā,hˈeː kˈʌpɖˌeː dʰˈʊvaː,,2,mr-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,लॉन्ड्री कुठे आहे?,,lônḍrī kuṭhē āhē?,lˈɔnɖɾi kˈʊʈʰeː ˈaːheː,,2,mr-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,हे कधी तयार होईल?,,hē kadhī tayāra hōīla?,hˈeː kˈʌdʰi təjˈaːɾ hoːˈiːl,,2,mr-agent-v1;ipa=espeak
