concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
hotel-words.passport,پاسپورٹ,,pāsporṭ,pˌaːspˈoːɾʈ,,2,ur-agent-v1;ipa=espeak
hotel-words.room-key-card,کمرے کا کارڈ,,kamre kā kārḍ,kˈʌmɾˌeː kaː kˈaːɾɖ,,2,ur-agent-v1;ipa=espeak
hotel-words.check-in,چیک ان,,chek in,cˈeːk ɪn,,2,ur-agent-v1;ipa=espeak
hotel-words.check-out,چیک آؤٹ,,chek ā’ūṭ,cˈeːk aːˈoːʈ,,2,ur-agent-v1;ipa=espeak
hotel-words.luggage-storage,سامان رکھنے کی جگہ,کلاک روم,sāmān rakhne kī jagah,saːmˈaːn ɾˈʌkʰnˌeː ki ɟˈʌɡˌa,"stations and hotels print kalāk rūm, 'cloak room'",2,ur-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,کیا کمرہ خالی ہے؟,,kyā kamra khālī hai?,kjˈaː kˈʌməɾa xˈaːli hɛ,,2,ur-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,ہم دو لوگ ہیں,,ham do log haiñ,ham dˈoː lˈoːɡ hẽ,,2,ur-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,میری بکنگ ہے,میں نے کمرہ بک کرایا ہے,merī buking hai,mˈeːɾi bˈʊkɪnɡ hɛ,,2,ur-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,کیا میں فون چارج کر سکتا ہوں؟,,kyā maiñ fon chārj kar saktā hūñ?,kjˈaː mˈẽ fˈoːn cˈaːɾəɟ kaɾ sˈʌktˌaː hũː,,2,ur-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,مجھے نو سموکنگ کمرہ چاہیے,مجھے ایسا کمرہ چاہیے جہاں سگریٹ منع ہو,mujhe no smoking kamra chāhiye,mˌʊɟʰeː nˈoː səmˈoːkɪnɡ kˈʌməɾa cˈaːhjeː,,2,ur-agent-v1;ipa=espeak
